ranking,continent,alliance,total_%,evara,vexemis,ibria,merius,ylanna,naera,cyndros,domdis,levels
1,N/A,Wolf Pack & Horizon,105,1%(1),23%(5),9%(4),28%(3),22%(5),4%(1),16%(4),2%(1),24
2,N/A,Black Sail Reapers,66,11%(1),-,12%(1),-,3%(1),18%(2),14%(2),8%(2),9
3,N/A,Dirty Mastiff Cartel,49,8%(1),-,7%(2),-,14%(2),18%(2),2%(1),-,8
4,N/A,Wild Ones All Hail,3,1%(1),-,-,-,2%(1),-,-,-,2
